Código e descrição do alimento ,,Código e descrição da preparação,,Energia (kcal),"Proteína (g)","Lipídios totais (g)","Carboidrato (g)",Fibra alimentar total (g)
6300101,"Arroz (polido, parboilizado, agulha, agulhinha, etc.)",99,Não se aplica,135.62,2.50,1.20,27.78,1.55
6300201,Arroz integral,99,Não se aplica,130.95,2.56,1.97,25.56,2.72
6300701,Milho (em grão),1,Cru(a),160.14,3.32,7.18,25.11,4.25
6300701,Milho (em grão),2,Cozido(a),160.14,3.32,7.18,25.11,4.25
6300701,Milho (em grão),3,Grelhado(a)/brasa/churrasco,160.14,3.32,7.18,25.11,4.25
6300701,Milho (em grão),4,Assado(a),160.14,3.32,7.18,25.11,4.25
6300701,Milho (em grão),7,Refogado(a),160.14,3.32,7.18,25.11,4.25
6300701,Milho (em grão),13,Ensopado,160.14,3.32,7.18,25.11,4.25
6300701,Milho (em grão),99,Não se aplica,160.14,3.32,7.18,25.11,4.25
6300706,Canjiquinha de milho em grão,1,Cru(a),79.68,1.24,2.20,13.50,0.67
6300706,Canjiquinha de milho em grão,2,Cozido(a),62.95,1.24,0.31,13.50,0.67
6300706,Canjiquinha de milho em grão,13,Ensopado,79.68,1.24,2.20,13.50,0.67
6300706,Canjiquinha de milho em grão,14,Mingau,62.95,1.24,0.31,13.50,0.67
6300706,Canjiquinha de milho em grão,15,Sopa,31.44,0.95,0.12,7.01,0.71
6300706,Canjiquinha de milho em grão,99,Não se aplica,62.95,1.24,0.31,13.50,0.67
6300707,Xerém de milho,99,Não se aplica,62.95,1.24,0.31,13.50,0.67
6301001,Amendoim (em grão) in natura,99,Não se aplica,567.00,25.80,49.24,16.13,8.50
6301101,Ervilha em grão,99,Não se aplica,109.09,5.36,3.06,15.63,5.50
6301201,Fava (em grão),99,Não se aplica,85.62,4.80,3.17,10.10,3.60
6301204,Mangalô amargo em grão,99,Não se aplica,85.62,4.80,3.17,10.10,3.60
6301603,Feijão-de-corda,99,Não se aplica,121.33,3.17,3.13,20.32,5.00
6301634,Feijão-verde,99,Não se aplica,121.33,3.17,3.13,20.32,5.00
6302001,Semente de linhaça,99,Não se aplica,534.00,18.29,42.16,28.88,27.30
6302602,Andu,99,Não se aplica,97.41,5.84,1.79,15.05,3.78
6302801,Grão de bico,99,Não se aplica,188.48,8.86,5.36,27.42,7.60
6302901,Lentilha,99,Não se aplica,136.28,9.02,2.67,20.13,5.86
6303001,Soja em grão,99,Não se aplica,196.34,16.64,11.61,9.93,6.00
6303102,"Feijão (preto, mulatinho, roxo, rosinha, etc.)",99,Não se aplica,97.41,5.84,1.79,15.05,3.78
6303501,Quirera não especificada,99,Não se aplica,62.95,1.24,0.31,13.50,0.67
6304034,Feijão-verde orgânico,99,Não se aplica,121.33,3.17,3.13,20.32,5.00
6304101,Feijão orgânico,99,Não se aplica,97.41,5.84,1.79,15.05,3.78
6304201,Pipoca  light,99,Não se aplica,445.94,10.77,17.78,64.85,12.07
6304301,Arroz  orgânico,99,Não se aplica,135.62,2.50,1.20,27.78,1.55
6304401,Arroz integral orgânico,99,Não se aplica,130.95,2.56,1.97,25.56,2.72
6304602,Feijão-de-soja orgânico,99,Não se aplica,196.34,16.64,11.61,9.93,6.00
6304901,Quinoa,99,Não se aplica,135.47,4.37,4.33,19.83,2.16
6400101,Batata-inglesa,1,Cru(a),86.00,1.71,0.10,20.01,2.05
6400101,Batata-inglesa,2,Cozido(a),86.00,1.71,0.10,20.01,2.05
6400101,Batata-inglesa,3,Grelhado(a)/brasa/churrasco,86.00,1.71,0.10,20.01,2.05
6400101,Batata-inglesa,4,Assado(a),86.00,1.71,0.10,20.01,2.05
6400101,Batata-inglesa,5,Frito(a),263.50,2.87,13.64,33.60,3.44
6400101,Batata-inglesa,7,Refogado(a),111.74,1.71,3.01,20.01,2.05
6400101,Batata-inglesa,8,Molho vermelho,73.60,1.63,0.12,17.08,1.94
6400101,Batata-inglesa,9,Molho branco,101.39,2.15,2.57,17.86,1.68
6400101,Batata-inglesa,10,Ao alho e óleo,263.50,2.87,13.64,33.60,3.44
6400101,Batata-inglesa,11,Com manteiga/óleo,111.74,1.71,3.01,20.01,2.05
6400101,Batata-inglesa,13,Ensopado,111.74,1.71,3.01,20.01,2.05
6400101,Batata-inglesa,15,Sopa,31.44,0.95,0.12,7.01,0.71
6400101,Batata-inglesa,99,Não se aplica,86.00,1.71,0.10,20.01,2.05
6400303,Mandioquinha salsa (batata-baroa),2,Cozido(a),76.00,1.37,0.14,17.72,2.50
6400303,Mandioquinha salsa (batata-baroa),7,Refogado(a),91.74,1.37,1.92,17.72,2.50
6400303,Mandioquinha salsa (batata-baroa),13,Ensopado,91.74,1.37,1.92,17.72,2.50
6400303,Mandioquinha salsa (batata-baroa),99,Não se aplica,76.00,1.37,0.14,17.72,2.50
6400304,Cenoura amarela (batata-baroa),99,Não se aplica,76.00,1.37,0.14,17.72,2.50
6400401,Batata-doce,1,Cru(a),76.00,1.37,0.14,17.72,2.50
6400401,Batata-doce,2,Cozido(a),76.00,1.37,0.14,17.72,2.50
6400401,Batata-doce,4,Assado(a),90.00,2.01,0.15,20.71,3.30
6400401,Batata-doce,5,Frito(a),351.28,4.40,12.59,56.88,8.03
6400401,Batata-doce,7,Refogado(a),91.74,1.37,1.92,17.72,2.50
6400401,Batata-doce,13,Ensopado,91.74,1.37,1.92,17.72,2.50
6400401,Batata-doce,99,Não se aplica,76.00,1.37,0.14,17.72,2.50
6400501,Inhame,1,Cru(a),100.00,1.71,0.12,23.40,1.80
6400501,Inhame,2,Cozido(a),100.00,1.71,0.12,23.40,1.80
6400501,Inhame,4,Assado(a),90.00,2.01,0.15,20.71,3.30
6400501,Inhame,5,Frito(a),115.74,1.71,1.90,23.40,1.80
6400501,Inhame,7,Refogado(a),115.74,1.71,1.90,23.40,1.80
6400501,Inhame,13,Ensopado,115.74,1.71,1.90,23.40,1.80
6400501,Inhame,15,Sopa,31.44,0.95,0.12,7.01,0.71
6400508,Quicaré,99,Não se aplica,100.00,1.71,0.12,23.40,1.80
6400601,Mandioca,1,Cru(a),125.00,0.60,0.30,30.10,1.60
6400601,Mandioca,2,Cozido(a),125.00,0.60,0.30,30.10,1.60
6400601,Mandioca,4,Assado(a),125.00,0.60,0.30,30.10,1.60
6400601,Mandioca,5,Frito(a),162.74,0.57,5.26,28.60,1.52
6400601,Mandioca,7,Refogado(a),162.74,0.57,5.26,28.60,1.52
6400601,Mandioca,8,Molho vermelho,104.80,0.74,0.28,25.16,1.58
6400601,Mandioca,11,Com manteiga/óleo,154.60,0.61,4.34,28.60,1.52
6400601,Mandioca,13,Ensopado,162.74,0.57,5.26,28.60,1.52
6400601,Mandioca,15,Sopa,31.44,0.95,0.12,7.01,0.71
6400601,Mandioca,99,Não se aplica,125.00,0.60,0.30,30.10,1.60
6400609,Aipim,2,Cozido(a),125.00,0.60,0.30,30.10,1.60
6400609,Aipim,4,Assado(a),125.00,0.60,0.30,30.10,1.60
6400609,Aipim,5,Frito(a),162.74,0.57,5.26,28.60,1.52
6400609,Aipim,6,Empanado(a)/à milanesa,162.74,0.57,5.26,28.60,1.52
6400609,Aipim,7,Refogado(a),162.74,0.57,5.26,28.60,1.52
6400609,Aipim,8,Molho vermelho,104.80,0.74,0.28,25.16,1.58
6400609,Aipim,11,Com manteiga/óleo,154.60,0.61,4.34,28.60,1.52
